"thyroid_GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS"	"progesterone_GOBP_CELLULAR_RESPONSE_TO_PROGESTERONE_STIMULUS"	"aldosterone_GOBP_RESPONSE_TO_ALDOSTERONE"	"androgen_HALLMARK_ANDROGEN_RESPONSE"	"estrogen_HALLMARK_ESTROGEN_RESPONSE_EARLY"	"estrogen_HALLMARK_ESTROGEN_RESPONSE_LATE"	"cortisol_glucocorticoid_GOBP_RESPONSE_TO_CORTISOL"
"TCGA.44.6778.11A"	23522.0934130415	15683.7222941549	22005.4553792127	25514.1694859738	23393.1165922073	22712.2189325366	27581.1120619825
"TCGA.50.5933.11A"	24050.4536439295	15583.23713766	22421.3509334639	26053.7626794488	24048.4470019281	23346.4911185674	27503.2668169565
"TCGA.38.4632.11A"	24277.5446794674	16170.1080703699	21097.2850678063	25224.4538109444	23032.2070232555	22980.3471275135	26041.4583997293
"TCGA.44.6148.11A"	25082.4899789529	16066.1265556376	21108.1850929805	25151.0917731955	23665.1530086752	23091.9964032276	27980.7562916684
"TCGA.49.6743.11A"	24302.0900815845	14949.6609806696	21580.1625013976	25454.3187399101	23625.6027290329	23013.6529958472	27580.185707667
"TCGA.44.2662.11A"	23081.9957771188	17445.4078524734	22881.4368232253	25541.4321148009	23882.9907145509	23198.4326387883	27976.628509606
"TCGA.44.5645.11A"	23566.5551978478	15878.7865788094	22243.0765566102	24911.0536017956	23230.3692230091	23085.5689709576	27193.5982258215
"TCGA.55.6972.11A"	23333.9827467679	17260.7177010791	21574.0172279563	25167.253541392	23266.121380396	22569.411798253	27515.3140413887
"TCGA.44.2661.11A"	23752.5762727585	16398.17569899	22653.7646421126	25073.1618661296	23565.7029499825	23196.720208807	27440.8721330567
"TCGA.55.6970.11A"	23467.0816558408	17308.5012446724	21404.9368981517	25544.8261691656	23246.3322384488	22834.6348326579	27453.0680952964
"TCGA.50.6595.11A"	23391.0811982198	16213.4944947305	21614.8355953304	25310.5602030889	23234.9936022279	22788.383583703	27598.0824776184
"TCGA.91.6828.11A"	24389.3510109776	16190.1753782073	21595.264583323	25772.4220917705	23781.9347200367	23239.7610034221	26990.7862603333
"TCGA.91.6849.11A"	24031.2709666455	15032.3055957967	21699.311829063	25420.8239196464	23588.9359345338	23099.3712401093	27131.6567881879
"TCGA.91.6847.11A"	24233.9208761902	15198.2301301625	21285.3046521069	25209.8686264016	23381.7164039367	22827.4443767388	27019.3756582161
"TCGA.55.6975.11A"	23539.4505539022	15819.5427622628	21841.5086649316	25517.0516174431	23393.2082343933	23103.2860843593	27471.377422836
"TCGA.55.6969.11A"	23130.1799308549	15733.3444357649	21520.1254682387	25085.7330784703	23174.2435237601	22498.5376027815	26578.8921892587
"TCGA.44.2668.11A"	23737.9294072468	15050.1778023948	22569.6813207862	25840.4356294334	23855.0841674801	23412.3042196384	26738.4457642283
"TCGA.55.6984.11A"	23698.9619480912	17415.0366623545	21508.5317990596	25147.5800216453	23193.3957130155	22801.060333471	26843.5063538481
"TCGA.44.2657.11A"	23257.5281339305	15840.1207026335	23786.7431082723	24943.9118741185	23421.0336347002	23392.9816180877	26223.7393503766
"TCGA.44.3398.11B"	23546.2843842162	18018.0038569213	21456.8780740215	25232.4462556527	23885.2144061326	23468.3232476627	27914.923749019
"TCGA.38.4627.11A"	23311.3799194571	15864.6991433301	22521.1546963293	25507.7753289657	23214.9106821503	23179.1636349446	27097.5058748834
"TCGA.91.6831.11A"	24284.526541754	17155.7100552813	22171.7925168485	26026.9329388711	23530.0722877183	22898.7726914807	27668.1762451673
"TCGA.50.5936.11A"	23982.1583401556	16102.8534140433	22542.5727224677	25739.6753586876	23687.1160293871	23148.289858502	28181.8841906635
"TCGA.44.2665.11A"	24058.8470036481	15368.1570507054	22501.3744071529	25516.4138760221	23798.2220151087	23243.3647694389	27569.7743238917
"TCGA.49.6742.11A"	24078.9028976459	15391.8015643199	21601.7921878247	25329.5897613069	23730.0166211765	23374.8776328687	26156.5504583972
"TCGA.55.6979.11A"	24028.0646725357	17321.1860590659	22157.5926726155	25378.9747047375	23378.8780892067	23001.6182068596	26786.8563699716
"TCGA.50.5939.11A"	24151.0437670477	15843.3201810326	22209.697025333	25758.5773637841	23811.6902023277	23103.6012039932	28115.9560887939
"TCGA.91.6836.11A"	23810.8701276973	15488.3609040361	21737.5208531788	25552.748703596	23455.0878254285	22809.7431747795	26818.7710435104
"TCGA.50.5935.11A"	24445.0015056113	16515.3559382394	22441.6925791797	25610.4009576304	23803.9476944339	23297.5194154055	27254.9766074911
"TCGA.55.6986.11A"	24326.3799040746	15540.0123483683	20997.8887092019	24949.2195682203	23397.0804658753	22673.2710580521	27393.6658297463
"TCGA.44.6145.11A"	23946.1458217215	15392.3404883129	22354.0206664846	25627.8849303399	23828.2053451098	23089.4398033527	27003.9453218502
