"thyroid_GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS"	"progesterone_GOBP_CELLULAR_RESPONSE_TO_PROGESTERONE_STIMULUS"	"aldosterone_GOBP_RESPONSE_TO_ALDOSTERONE"	"androgen_HALLMARK_ANDROGEN_RESPONSE"	"estrogen_HALLMARK_ESTROGEN_RESPONSE_EARLY"	"estrogen_HALLMARK_ESTROGEN_RESPONSE_LATE"	"cortisol_glucocorticoid_GOBP_RESPONSE_TO_CORTISOL"
"TCGA.38.6178.01A"	23944.6643247807	15584.18914974	22110.5024474227	25250.9536067793	23466.9706426368	23046.5824880075	23849.5131856138
"TCGA.55.8207.01A"	23566.9787517501	14080.8079789952	22287.8911393058	24915.8025412495	23429.8423830959	22887.4755270336	22866.7147660933
"TCGA.55.8621.01A"	23869.978968681	16630.1003869328	22208.1245010045	24984.5233369122	23517.9690046641	23334.9706912206	26503.9076857887
"TCGA.50.5051.01A"	22799.4011059314	15312.1063592088	20541.3769780079	24300.2316220944	22933.0999602649	23026.8399074536	24205.1676914611
"TCGA.86.8674.01A"	24186.2985438482	17536.3668718636	20292.0354462334	24187.5536146102	22704.9025518581	22974.6862990166	23344.7869949472
"TCGA.97.8177.01A"	23834.0778805842	14328.6688735656	21675.2287307967	24923.2812005301	23382.4986622928	23312.2130698967	23049.5968571143
"TCGA.55.7284.01B"	23237.0492859297	15114.2424770586	21748.5407038509	25127.4873971453	23849.3781646787	23505.046911981	25912.3976137507
"TCGA.67.3771.01A"	24970.3587306439	16060.6165511977	20747.3399589795	24568.854067298	23140.8166549418	23043.5554268129	21893.8962915249
"TCGA.44.7671.01A"	24907.6982391781	15704.6251810886	21415.3294090307	25239.6171546562	24077.0563447274	23782.5401280119	26608.3367607404
"TCGA.J2.8192.01A"	24164.1145225135	12398.0537261555	22094.9083664509	25302.2820164771	23170.6785966029	22617.1912764181	23899.4039016711
"TCGA.64.5779.01A"	22939.3984435765	15671.2593383183	21187.804161712	24611.2156841141	22899.7498890511	22225.6966008931	22284.658875942
"TCGA.78.8640.01A"	25168.9936785513	16575.9916168572	20423.7705087185	24397.8104014943	22478.4779929016	22138.9354181163	21991.2596154784
"TCGA.64.1680.01A"	23975.109663347	15573.457133557	21217.9802548678	24583.396104641	22793.4574488676	22926.376347332	23021.5652136505
"TCGA.44.5643.01A"	23307.6278994198	18600.2713192207	20977.4018693504	24297.6013733385	23216.1861262257	22914.6870826717	21744.685444844
"TCGA.83.5908.01A"	23208.3367463913	17794.8947662614	21790.2025816879	24615.2220652483	22354.3756133298	22251.9717716812	22174.6168443071
"TCGA.73.A9RS.01A"	23743.6025613371	16021.971397056	19602.7606352343	24739.4712897169	22157.7217678421	22167.0631068998	20835.5605773683
"TCGA.NJ.A4YI.01A"	21488.5557356789	15038.1521717012	22620.4964845785	23859.9278855481	22078.9414628606	22298.9858718124	22110.6503579224
"TCGA.55.8299.01A"	24142.3915469964	17114.0759893438	21742.887282245	25086.6413716873	23412.4449555694	23475.0874134356	24176.6675661225
"TCGA.78.7149.01A"	23865.795917896	15512.8340562114	20095.1966257794	23987.7621044611	22978.9854990277	22642.5601346912	24586.0840763314
"TCGA.93.A4JP.01A"	24112.2581321412	14936.8508544227	21051.9196323841	25378.4102365216	23618.0588682569	23334.606040714	26928.8913335034
"TCGA.44.6777.01A"	24244.7913928875	16481.6042700508	22138.1478549917	25457.3064755691	23634.1022565835	23070.0634829078	24277.3164448169
"TCGA.55.8096.01A"	22945.7965591796	14219.8269964043	21783.147603868	24964.281396193	22940.7986510916	22390.426141583	20173.676167311
"TCGA.50.5930.01A"	24859.0760905814	16786.7030597285	22337.3648467667	25335.7763444773	23737.1499986099	23393.6152216917	24232.098193294
"TCGA.67.3774.01A"	23785.9277825658	15753.4067315881	21129.3388206728	25071.9200774312	23621.7491544267	23435.3921020448	25674.1264860203
"TCGA.95.A4VN.01A"	23022.5929692957	18431.1740566196	21748.9760019519	24484.8730530904	22739.7220814896	22810.9575971178	23627.1418123662
"TCGA.97.8171.01A"	22241.6855979845	13988.9145821446	19627.8919035363	24323.6591423558	21555.9797737827	21339.9083939298	19825.1726069612
"TCGA.49.AAR0.01A"	23982.5205106896	13430.1071200805	22065.0518982279	24071.2038712909	23238.8019076577	23509.6330862891	22976.9038508246
"TCGA.55.A57B.01A"	24087.552414561	13746.7752197861	21559.7951698166	24395.8922028363	23179.670060643	22373.8148751929	24538.3218868387
"TCGA.44.6775.01A"	24744.20629523	14304.3235650515	21681.0523871672	25159.871052591	23453.5287528334	22985.2657568296	23018.6260916608
"TCGA.44.6775.01C"	24889.4805685197	10427.0871753383	16382.9668887286	24497.0947292261	19091.983880921	17546.1318049548	21081.3805896207
"TCGA.O1.A52J.01A"	22591.2530549177	14173.9367070884	21052.2251760306	24330.8652129173	22586.8782454634	22115.6277485974	21749.2439619746
"TCGA.05.5428.01A"	24149.0501646049	15851.8794073463	21179.8050586129	24288.4596298529	21891.9553275172	22417.0444945877	21272.6082464002
"TCGA.44.7672.01A"	23235.1265747167	15605.5106369373	21952.4379794348	24956.0229935005	23446.2666337209	23275.2274860051	23746.5769761998
"TCGA.62.8402.01A"	23478.7842844831	18146.6564743628	20669.7296769031	24456.9053737196	22646.0894403528	22245.6606932769	18366.4645189836
"TCGA.86.8358.01A"	23738.227073101	17424.9986378783	21250.7152998889	24016.6748920186	22691.5493373819	22568.182434062	19959.4503847661
"TCGA.50.8460.01A"	22455.3239157456	15355.3150969212	22394.6608611233	24342.1018688961	23204.7499164686	22985.3992262564	24191.5773370289
"TCGA.91.8497.01A"	23309.8776285978	15541.6423541325	23236.6790159339	24825.9288674532	23728.5179330537	23439.8812564276	26202.9201308825
"TCGA.71.6725.01A"	23073.7304971562	14153.1528304291	21661.8763158493	24509.3502195421	22533.0036620668	21747.2937410086	21191.2347566496
"TCGA.78.7159.01A"	23514.9823360104	16223.2980911435	20855.7037594458	24396.9837037989	22843.889102552	22644.1862971301	23244.7817545322
"TCGA.55.7816.01A"	22824.532310106	19414.0866023462	19824.070611194	24950.7135976584	22886.3373344653	22240.4345312299	24850.7050040074
"TCGA.75.6207.01A"	24052.7806411644	16406.8365478266	21118.0265597138	24731.4102456608	23159.8342694433	22589.9922968243	22168.0179985702
"TCGA.62.8395.01A"	23813.2879819032	16418.1419648715	22178.5711248522	24957.9193099654	23791.3295457591	23451.9350754013	23939.4215282691
"TCGA.35.5375.01A"	24321.7097232863	17272.3809431727	22175.4890785214	24309.6038162905	21920.3489639414	22401.2911690052	21512.1039447522
"TCGA.97.7547.01A"	24171.1187989073	15876.6508371813	20189.0300364051	25398.2891774488	23593.8199203989	22684.8825861745	23493.3365003766
"TCGA.44.6778.01A"	23987.2491995269	18090.8101804262	21240.2670707691	24855.7498223752	22895.6751830641	22793.5092192137	26025.8543846041
"TCGA.55.8085.01A"	23923.0969347935	16746.9370140806	20617.9140526139	24168.3368953597	21980.5553691839	22089.0821308861	21811.2024341921
"TCGA.55.7281.01A"	23650.7009173981	14921.9295547392	22452.9669304014	24592.015481293	23477.4606465027	23234.5643854333	21518.7263644345
"TCGA.55.7994.01A"	24382.8206949094	19853.1942443182	22686.7389933137	24572.0549541514	22374.7643048627	21987.2634416894	20509.6651553809
"TCGA.05.4424.01A"	24344.2985234598	16699.0654031169	22785.0193058377	25645.8112557805	23672.4276805512	23591.4871400702	25543.5558393899
"TCGA.69.A59K.01A"	24191.3472533925	14448.2159969683	21298.9244005685	23629.6405400737	22226.4452529991	21975.8556600569	21223.9298180751
"TCGA.62.8394.01A"	23584.3962048711	14640.8948328975	20603.2782632905	24540.9520225787	23333.8853705687	23393.9458081873	21676.9275876397
"TCGA.75.5122.01A"	24446.6847725829	17886.5913487158	21591.3668452884	24669.3317476615	22360.4102025078	22561.3369385808	21654.5914548772
"TCGA.50.5933.01A"	24615.9727200258	18146.6122755862	22692.4357457867	25265.7119817542	23052.1208860587	22846.4561629411	22088.3261583141
"TCGA.55.7903.01A"	23861.5643740386	15628.2773672547	21927.1011853176	24072.4083529694	22290.6836259511	21939.3972419927	21013.5662600944
"TCGA.NJ.A4YG.01A"	22788.8310598506	14468.3103054344	21733.7936673263	24445.7789164829	23100.7560315999	22969.3358353641	22254.7787356454
"TCGA.55.8208.01A"	24115.7352385896	17380.4650021993	21738.6670633826	24680.7180796632	22738.6810356908	22724.2043321236	23297.7589721306
"TCGA.55.8302.01A"	24692.3294299752	16826.9035804687	21513.9871989965	24236.5751645178	23067.39153375	22841.2117349167	21543.470716402
"TCGA.86.8669.01A"	23610.3260702622	17271.3180549913	21983.6364619731	24797.2225580614	23404.5266180986	23057.0294510159	24549.1061309881
"TCGA.44.8120.01A"	23159.2418531768	15181.3905240032	20883.6253983642	24890.5421359387	23187.7850121782	22524.6665157879	24088.9546273066
"TCGA.95.8039.01A"	23050.0949430674	15231.8424094704	21914.9523402906	24484.6159987065	23032.321876489	22776.6722912499	23587.9776987604
"TCGA.86.8075.01A"	24565.7476100156	14193.2497936301	21699.1702934624	25176.2684522486	23644.3118075949	23004.339608115	23127.4948717403
"TCGA.86.7711.01A"	24904.7561654647	16696.3925938738	19772.2135014991	25104.2440634912	22865.0735015293	22442.8433046389	22531.5021422554
"TCGA.95.A4VP.01A"	22801.2683315095	15610.2146909134	21306.3713850084	24023.9792870455	23182.0375463637	23300.2954162975	24977.1745434119
"TCGA.55.8206.01A"	23694.3262571641	15481.5848184476	21780.5458194326	25063.6333548001	23030.4759859904	22398.2923610783	25064.1115507576
"TCGA.86.7701.01A"	22623.8363615985	15791.3309337544	21336.9418495637	24950.7318696077	23005.0393749377	23077.9422972745	22065.2538826199
"TCGA.64.5815.01A"	23590.5085960002	16936.1068237143	22315.7610475068	25034.7239721853	23872.7280479244	23856.7745840615	24830.567450484
"TCGA.55.7574.01A"	23875.8970727808	15738.9875679516	22509.1232316415	25026.1629874518	23357.0011415756	22870.3643061401	25000.39078618
"TCGA.44.7660.01A"	23738.4978236756	16302.9262821972	18723.2880307895	24144.7704179787	22385.4750863004	22675.7463472686	17951.2615096345
"TCGA.05.4390.01A"	23613.9343006558	17563.420882991	21878.6486494514	24791.266027867	23439.5735539743	23235.9634846939	21732.8012186789
"TCGA.93.8067.01A"	23884.7475862813	16896.8338370839	20277.3140429895	24865.3266200563	23509.9340831361	23194.2604866441	23472.7170820295
"TCGA.55.1595.01A"	22998.2262456278	14736.2538108028	21590.7302751794	24368.9738704282	22809.8089051958	22383.4705318483	23672.0409734153
"TCGA.49.6745.01A"	24055.8949231617	18089.7360628849	21623.6352834292	25181.8405060467	23718.384121226	23764.960499963	25131.9525116058
